number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.010651478738674332,2026-01-13 13:37:41.059664,2026-01-13 13:37:52.115766,0 days 00:00:11.056102,0.8963858441509454,0.07771904835491783,0.019525170438867506,12,5.8401879068951095,1156,0.5678443846484809,3.7127156389230755,0.5911421168219788,COMPLETE
1,0.012177641208144786,2026-01-13 13:37:52.116698,2026-01-13 13:38:00.955568,0 days 00:00:08.838870,0.5510300799271448,1.8855135530908473,0.1396871844721732,5,8.844007906225634,1747,0.04131057984728483,6.685967956561673,0.5449985970100499,COMPLETE
2,0.010721717697769072,2026-01-13 13:38:00.956559,2026-01-13 13:38:08.072089,0 days 00:00:07.115530,0.6931564199619532,1.6564891940737936,0.001092538041107922,3,5.919747089469869,1276,0.00046547190159541656,3.8214802674499064,0.6830743150603701,COMPLETE
3,0.010506151537872531,2026-01-13 13:38:08.073133,2026-01-13 13:38:10.280889,0 days 00:00:02.207756,0.6759411039351111,2.3102982202978337,0.0807819802113743,2,3.293487461409076,496,0.11801973928551619,2.19335537163757,0.5330210429305606,COMPLETE
4,0.01083489188412349,2026-01-13 13:38:10.281794,2026-01-13 13:38:16.548965,0 days 00:00:06.267171,0.9304717765021977,3.286049907366877,0.0013664360302930885,2,2.2683479968722686,1088,1.5873104395557193e-08,3.125422988496514,0.6373782215212263,COMPLETE
5,0.012151710022657441,2026-01-13 13:38:16.550140,2026-01-13 13:38:24.711833,0 days 00:00:08.161693,0.781057010176754,0.7944360726156485,0.11366614155543378,12,8.417640260278024,1241,0.0017395206202114012,1.520018345896655,0.7448456370321888,COMPLETE
6,0.010982555520177273,2026-01-13 13:38:24.712792,2026-01-13 13:38:37.731480,0 days 00:00:13.018688,0.7547028638477827,2.8357651687992513,0.037787856998086275,11,7.967596819488159,1364,0.0004984924463373269,4.199969383245096,0.5320487236903324,COMPLETE
7,0.010478411617432038,2026-01-13 13:38:37.732418,2026-01-13 13:38:51.242510,0 days 00:00:13.510092,0.8703503774161834,4.716480854177428,0.0012573464052563123,9,7.750613000437706,1608,2.457983159123151e-07,2.014512704178175,0.5747928147699355,COMPLETE
8,0.01055379658861627,2026-01-13 13:38:51.243530,2026-01-13 13:38:58.846186,0 days 00:00:07.602656,0.7554125115176313,2.4388671403077944,0.01950950686402718,5,4.3556560999242855,1111,0.0005044101980867595,0.11465105319907301,0.8402548859915892,COMPLETE
9,0.01028962567966161,2026-01-13 13:38:58.847219,2026-01-13 13:39:01.929194,0 days 00:00:03.081975,0.9363660426868066,0.6158868167572557,0.010190749006678016,3,9.696068336264098,641,0.00016736330739908526,8.586925296578423,0.9596710059387179,COMPLETE
10,0.01039800830637125,2026-01-13 13:39:01.930177,2026-01-13 13:39:05.839534,0 days 00:00:03.909357,0.9984132526249362,0.02392335710979021,0.005764645956734063,7,0.767708058116046,413,1.7552167961827568e-06,9.756561995085866,0.9660242328771754,COMPLETE
