number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.010349346311971557,2026-01-13 13:40:59.919415,2026-01-13 13:41:02.065620,0 days 00:00:02.146205,0.5079219804240555,0.49129319022998397,0.006463963814952177,5,3.5900779684029387,481,0.00040230701199097204,8.384786802772235,0.843359057455239,COMPLETE
1,0.01023356644970312,2026-01-13 13:41:02.066587,2026-01-13 13:41:05.164305,0 days 00:00:03.097718,0.5918942573946261,0.8078521476636471,0.019494402867215144,7,2.534478387525411,620,7.985972610891542e-05,11.947691162207516,0.9798623788659214,COMPLETE
2,0.010219660056388724,2026-01-13 13:41:05.165326,2026-01-13 13:41:08.760924,0 days 00:00:03.595598,0.5067739864286113,1.1472762628166977,0.017007289414826397,6,4.203600159459137,690,4.078142031422352e-05,4.1815908150003995,0.8784293236638085,COMPLETE
3,0.010258194384803385,2026-01-13 13:41:08.761936,2026-01-13 13:41:11.120345,0 days 00:00:02.358409,0.6208107129461774,1.8937941577140935,0.018326230661392637,7,6.477787030342597,555,4.8877908793879526e-05,7.823775659367236,0.9539550320357969,COMPLETE
4,0.010199462166762601,2026-01-13 13:41:11.121315,2026-01-13 13:41:13.484201,0 days 00:00:02.362886,0.6811601862828432,1.9338185220927067,0.017068122800898197,5,3.760135730699875,456,3.4700211183639034e-05,11.726454381679032,0.9383743295924746,COMPLETE
5,0.01023863016442915,2026-01-13 13:41:13.485180,2026-01-13 13:41:15.956243,0 days 00:00:02.471063,0.6847728541256785,2.2190604514976306,0.007829275821125239,5,1.8639343402361706,582,4.800192731578933e-05,3.399358081328139,0.906826577228464,COMPLETE
6,0.010263936133887916,2026-01-13 13:41:15.957245,2026-01-13 13:41:19.355933,0 days 00:00:03.398688,0.6685957004880383,1.2590946889275594,0.014923165387411674,7,3.4922779820846412,668,4.072053975786132e-05,6.014380890518777,0.8553083183614977,COMPLETE
7,0.010211023557868707,2026-01-13 13:41:19.356945,2026-01-13 13:41:22.430072,0 days 00:00:03.073127,0.6088706931219995,1.6689624414903443,0.006853981434868458,6,2.3581006397469033,712,6.407916536873046e-05,4.000387390370669,0.8279439033887485,COMPLETE
8,0.010227666862357793,2026-01-13 13:41:22.431139,2026-01-13 13:41:24.743120,0 days 00:00:02.311981,0.5817621198570092,1.3408214894857158,0.012845485241248648,7,4.36785553026093,522,0.0005150287452209619,4.657440832685592,0.9875777999810209,COMPLETE
9,0.01023022620916982,2026-01-13 13:41:24.744221,2026-01-13 13:41:27.126489,0 days 00:00:02.382268,0.6428466508084706,2.0714441391782925,0.01973387820712975,6,1.931381647425683,595,0.00015630245921072168,8.392474649506951,0.8646867436676821,COMPLETE
10,0.010265250552716456,2026-01-13 13:41:27.127470,2026-01-13 13:41:28.871878,0 days 00:00:01.744408,0.5553204163411579,1.6964188218605991,0.009671041804205773,5,5.564756938511125,429,0.00012710102820983878,12.209972403291633,0.9316261128366482,COMPLETE
11,0.010297023156225563,2026-01-13 13:41:28.872806,2026-01-13 13:41:32.058650,0 days 00:00:03.185844,0.6398698523038772,1.7095089101049634,0.02425582819369094,6,2.9859731905558977,775,7.621123171040551e-05,10.659302643349655,0.825009554913028,COMPLETE
12,0.010214047027802618,2026-01-13 13:41:32.059705,2026-01-13 13:41:35.588508,0 days 00:00:03.528803,0.5488864092877876,1.5100352557797403,0.010510973769072911,6,5.078416151216411,763,8.727628578057506e-05,10.087169180337318,0.9038045196040285,COMPLETE
13,0.010167287605406833,2026-01-13 13:41:35.589515,2026-01-13 13:41:38.501763,0 days 00:00:02.912248,0.6190478794055475,1.8847166854501347,0.011110413605600332,5,2.7605313375614244,711,0.00022961716431955793,6.167431610905627,0.9386233091880705,COMPLETE
14,0.010209290302993616,2026-01-13 13:41:38.502734,2026-01-13 13:41:40.767034,0 days 00:00:02.264300,0.6566611649729925,2.240489545334788,0.011838961357547511,5,3.2895999163933807,639,0.0002703718552753767,6.144455497319537,0.9463026971262308,COMPLETE
15,0.010225682933181875,2026-01-13 13:41:40.768050,2026-01-13 13:41:42.539595,0 days 00:00:01.771545,0.6748195946349008,1.945957355280001,0.014799875973943225,5,4.760254368961679,437,0.00026123756158506306,6.296935068809518,0.9279927143987967,COMPLETE
16,0.010241804069056356,2026-01-13 13:41:42.540557,2026-01-13 13:41:45.216478,0 days 00:00:02.675921,0.6335859406757653,0.954089183699098,0.008885152281691759,5,3.8231826830754483,731,0.000246146904598928,9.458579714795686,0.9693891391614124,COMPLETE
17,0.010184728248583588,2026-01-13 13:41:45.217565,2026-01-13 13:41:47.200067,0 days 00:00:01.982502,0.5703818554106244,1.965108481880507,0.024906455876606858,5,2.7874281906170575,501,0.0007446100445694277,6.967929600858727,0.8928124269501205,COMPLETE
18,0.010210507860089733,2026-01-13 13:41:47.201023,2026-01-13 13:41:49.369668,0 days 00:00:02.168645,0.5674014742635454,1.5867534315793417,0.02408299565789419,5,2.8309665031140363,520,0.0007367648099396168,6.834497703077963,0.8921752607478958,COMPLETE
19,0.010186946440985138,2026-01-13 13:41:49.370804,2026-01-13 13:41:52.617182,0 days 00:00:03.246378,0.5346886977727131,2.277051916573555,0.0125322675922765,6,2.419854453907643,665,0.0008061993812862823,5.181029362957749,0.9207449665611107,COMPLETE
20,0.010230136433105514,2026-01-13 13:41:52.618193,2026-01-13 13:41:54.818396,0 days 00:00:02.200203,0.6024610528140473,1.4741862052568577,0.01096747018115589,5,1.7356251446927526,502,0.0003989237606489474,7.204908469741174,0.8859430975083622,COMPLETE
21,0.010220841511973123,2026-01-13 13:41:54.819433,2026-01-13 13:41:57.481626,0 days 00:00:02.662193,0.5329259060705042,2.288025789726024,0.013246564322632506,6,2.392880364321053,652,0.0008048236176629728,5.1427266168198145,0.920477780515297,COMPLETE
22,0.01021346993520098,2026-01-13 13:41:57.482633,2026-01-13 13:42:00.341693,0 days 00:00:02.859060,0.5328207414851058,2.052957136801473,0.01414691273754788,6,2.950992680176046,732,0.0005683830342771809,5.40487636856571,0.9643263526790106,COMPLETE
23,0.010209281405790256,2026-01-13 13:42:00.342661,2026-01-13 13:42:03.118736,0 days 00:00:02.776075,0.5809535499930162,1.8377163398693184,0.008766085333161165,5,2.2013462490135627,684,0.0005739942983613413,5.486026672848322,0.9141867471301351,COMPLETE
24,0.0101949546244931,2026-01-13 13:42:03.119914,2026-01-13 13:42:05.273668,0 days 00:00:02.153754,0.5276677106969627,2.1149976979416714,0.011277741827084808,5,2.7493782618163607,574,0.00036224988824819926,7.159886889808165,0.8683633862879523,COMPLETE
25,0.010227891762816651,2026-01-13 13:42:05.274618,2026-01-13 13:42:07.888007,0 days 00:00:02.613389,0.5561420460006129,1.7910324724637647,0.009781767002776809,6,3.1378406558110523,635,0.0001961099554150903,8.125291001214928,0.999548980197764,COMPLETE
26,0.01023060030597828,2026-01-13 13:42:07.889003,2026-01-13 13:42:10.204294,0 days 00:00:02.315291,0.5738099838267362,2.054652082966299,0.022391043925934745,5,2.633255814999846,710,0.0006555262629047752,9.137439851252186,0.903861277415027,COMPLETE
27,0.010194019239109939,2026-01-13 13:42:10.205261,2026-01-13 13:42:12.450586,0 days 00:00:02.245325,0.6165523280360434,2.149744045688486,0.012144317313163904,6,2.1276585575935747,550,0.00046189086415993676,3.1283012247087587,0.8952375332762915,COMPLETE
28,0.010213388949481487,2026-01-13 13:42:12.451567,2026-01-13 13:42:15.048611,0 days 00:00:02.597044,0.5940714682657431,1.96901380840426,0.01625662807596505,6,3.2958683144101104,750,0.00033147869431573074,6.661840319417783,0.95016209251874,COMPLETE
