,dst_dst,dst_dst_delta_1h,dst_dst_delta_3h,dst_dst_delta_6h,dst_dst_negative_flag,dst_dst_recovery_flag,dst_dst_min_6h,dst_dst_mean_6h,dst_dst_slope_6h,dst_dst_neg_frac_6h,kp_kp,kp_kp_delta_1h,kp_kp_delta_3h,kp_kp_delta_6h,kp_kp_ge5_flag,kp_kp_entered_storm,kp_kp_max_6h,kp_kp_mean_6h,kp_kp_ge5_frac_6h,kp_kp_slope_6h,sunspot_ssn,sunspot_log_ssn,sunspot_ssn_slope_27d,sunspot_ssn_anomaly_81d,sunspot_ssn_mean_1944h,sunspot_ssn_std_1944h,sunspot_ssn_trend_1296h,sunspot_ssn_anomaly_frac_1944h,cme_hours_since_last_cme,cme_last_cme_v_med,cme_effective_width,cme_cme_overtaking_flag,cme_cme_influence_exp,cme_last_cme_shock_proxy,cme_min_hours_since_last_cme_6h,cme_max_last_cme_v_med_12h,cme_mean_cme_influence_exp_12h,cme_max_last_cme_shock_proxy_6h,imf_solar_wind_density,imf_solar_wind_speed,imf_solar_wind_temperature,imf_solar_wind_density_source_id,imf_solar_wind_speed_source_id,imf_solar_wind_temperature_source_id,imf_solar_wind_bx_gse,imf_solar_wind_by_gse,imf_solar_wind_bz_gse,imf_solar_wind_bt,imf_solar_wind_bx_gse_source_id,imf_solar_wind_by_gse_source_id,imf_solar_wind_bz_gse_source_id,imf_solar_wind_bt_source_id,imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_by_gse_missing_flag,imf_solar_wind_bz_gse_missing_flag,imf_solar_wind_bt_missing_flag,imf_solar_wind_speed_missing_flag,imf_solar_wind_density_missing_flag,imf_solar_wind_temperature_missing_flag,imf_solar_wind_clock_angle,imf_solar_wind_newell_dphi_dt,imf_solar_wind_ey,imf_solar_wind_dynamic_pressure,imf_solar_wind_delta_bz,imf_solar_wind_bz_min_6h,imf_solar_wind_bz_south_frac_6h,imf_solar_wind_newell_int_6h,imf_solar_wind_ey_mean_6h,imf_solar_wind_pdyn_max_6h,radio_flux_f107,radio_flux_log_f107,radio_flux_df107_24h,radio_flux_f107_anomaly_27d,radio_flux_f107_mean_24h,radio_flux_f107_delta_24h,radio_flux_f107_std_72h,radio_flux_log_f107_mean_24h,radio_flux_f107_anomaly_72h
dst_dst,1.0,0.16460389358784655,0.2540488928594107,0.33331057853903373,-0.5276334054451335,-0.46315902666646636,0.9427255829392956,0.935659275306571,0.29856204438505934,-0.5256286330730277,-0.5134128702988595,0.09397565229589229,0.13469684768569054,0.14064696467971913,-0.3753713322097663,-0.050026103856092484,-0.5820339182620129,-0.6137310427768251,-0.5133619804470263,0.13800885910568247,-0.1587489969809613,-0.16109459414120159,-0.032869370414214255,,-0.16594886380573093,-0.20092485801356896,-0.018476660456124987,-0.038023821166760556,0.0753953557402728,-0.012599502239460094,0.0028133170115474692,-0.029081636965971363,-0.0854931594760613,0.012865532546998097,0.07863499676974528,-0.010310628135258019,-0.09328160972496341,0.015162530614768965,-0.17980321589958717,-0.3636185638004781,-0.24465843301000015,-0.17492577226657036,0.030089111658696453,-0.16982895902972464,0.032293417040483476,-0.028763437769849052,0.03239141819596396,-0.2882739070035259,-0.0006125759355342514,-0.0006125759355342514,-0.0006125759355342514,-0.0009826562292793296,0.0005328856540079226,0.0005328856540079226,0.0005328856540079226,0.0028702823678436306,-0.05879250814103252,0.19140794209723466,0.18834236430198684,-0.02596789247702431,-0.03845884093482686,-0.03558005089238494,-0.15491289992241078,-0.003116428552929927,0.0374990087736946,-0.024344168005745678,-0.0031739850660632844,-0.06086058808375576,-0.20414277291958174,-0.19165194330047833,-0.19487473322663956,0.02088206239645994,,-0.20037686419182862,0.020882062396459945,-0.15959688480155293,-0.19929867013882802,0.03645116960478095
dst_dst_delta_1h,0.16460389358784655,1.0,0.5345701389938435,0.3780879771192061,-0.16199821535717288,0.17029989540763626,-0.015835973427282758,-0.07373947230004244,0.24376750940401185,0.05177234934860861,-0.09895221092133692,0.0065032001230809116,-0.05464575959002003,-0.10944057552615921,-0.09262082226062723,-0.007150979583842536,-0.05959359474036831,-0.07437041776937584,-0.07586150527960821,-0.10436524527868549,-0.0007537255509161648,-0.0006441898798199837,-0.0008289480039021034,,-1.153519831188977e-05,-5.238160591939968e-06,-0.0004933605079380683,9.983877160921202e-05,0.0012413649044871419,0.0003991078098038746,0.000329545532868679,0.0002680201153788551,-0.0006850353357615418,0.0004329322988616018,0.0003418752018052794,0.00019761093612045513,-0.0010522249213794658,0.0003021652775527013,-0.004654974105384847,-0.0034779570969881457,-0.0241065735729063,-0.0030154774212939714,0.005317444835629358,-0.0026743654222724255,0.0027618537461999966,-0.0013063311797354403,0.006350708200146318,-0.07594392649283853,-0.00010202920108363741,-0.00010202920108363741,-0.00010202920108363741,-0.00034095019991394024,4.164490702872449e-05,4.164490702872449e-05,4.164490702872449e-05,0.0014661507015993472,-0.009069815199793793,0.0033935736905621595,0.0032508331839284804,-0.0018339256054796089,-0.003222733870236705,-0.0053934469086861165,-0.022028712462832955,-0.0011020049573621277,0.013209471050951273,-0.006943949325516272,-0.00035381525295117184,-0.01525676673403832,-0.048136827419824946,-0.0017352317116184127,-0.0012047257830489653,-0.0038425455075527296,,-0.0010750437775009264,-0.0038425455075527274,-0.002954850089977396,-0.0008443855857061014,-0.0033071191097838975
dst_dst_delta_3h,0.2540488928594107,0.5345701389938435,1.0,0.6559951236333679,-0.1837953444472048,0.07509793907244286,0.025310820973771575,-0.07158266643185769,0.742021586974766,0.05529537847980692,-0.16794501573515672,0.04543582449382906,-0.008263277438272347,-0.14660779896072923,-0.16543991766888821,-0.00955436311568191,-0.13409631067519256,-0.16172284559959424,-0.17003578594186308,-0.11241545152032499,-0.001283954002285912,-0.0011714261231709007,-0.0015602625292188527,,-1.903373639737136e-05,-8.511536356606844e-06,-0.0011276034189703912,0.00019309319051650982,0.0003744147506853167,0.0005509175146087012,0.0008583992430636409,0.0003197615621679456,-0.00038077949871128346,0.0012091158207490345,0.0004008455671021955,0.0005889670700466652,-0.0019770210233693627,0.0010841432283870695,-0.010555422591012897,-0.010308313698834573,-0.04836568354709295,-0.007398249602761184,0.009002610985339618,-0.005908065916957787,0.005908226916652315,-0.004274331543528739,0.018215478245582083,-0.13136010490355796,-8.397673354730238e-05,-8.397673354730238e-05,-8.397673354730238e-05,-0.0003900662933832482,2.9206857036487197e-05,2.9206857036487197e-05,2.9206857036487197e-05,0.0028879098672034624,-0.01648686930284242,0.00810147867702024,0.006943440218683648,-0.002721349454230886,-0.009853859269582817,-0.017644939059422056,-0.045608224418165,0.0028816907301023554,0.026303291318221872,-0.013936729183979465,-0.0007030634117697214,-0.03185968206665445,-0.08048472629744365,-0.0030458536719130285,-0.002115923224852336,-0.005351127573773682,,-0.0021484008668425916,-0.005351127573773687,-0.005817087615150733,-0.0016793622698502305,-0.005230367287935991
dst_dst_delta_6h,0.33331057853903373,0.3780879771192061,0.6559951236333679,1.0,-0.19358702941536834,0.016985547520524755,0.13034665849710028,0.058110038232497795,0.8430145499892199,-0.02417832016036635,-0.21034239613809583,0.0677101203515875,0.06804172979555818,-0.058240047867304606,-0.21122181208801263,-0.01297240472614949,-0.2165359865305016,-0.24681445104411692,-0.26467792045832306,-0.002210128176902912,-0.0019520587092137238,-0.0013788677069723368,-0.002248061641538322,,-2.828521067511366e-05,-1.8832585292520666e-05,-0.0025335158599859454,0.00028481963491207535,7.173673496983999e-05,0.0006087440476766012,0.001480698154678446,0.0005286798475481832,-0.00047024124148394817,0.0013731812668140795,0.0006368154347796643,0.0009672636522856787,-0.002552581540713546,0.0012181897918725193,-0.01621350737747761,-0.02369403179241278,-0.0713103739003386,-0.012109052226733414,0.011296015426599831,-0.00996400816317158,0.010268894736087112,-0.0054630758557531875,0.02782460587060814,-0.17474432285423674,1.1506615647502743e-05,1.1506615647502743e-05,1.1506615647502743e-05,-0.000500492890285829,-2.6396235123876253e-05,-2.6396235123876253e-05,-2.6396235123876253e-05,0.004691886074881913,-0.02138345590093974,0.012904356271730902,0.011464388532221625,-0.0032350208902242688,-0.014269153769565605,-0.02722021128704289,-0.06808616021144794,0.0008759639553058399,0.03286797126149379,-0.015393469546925042,-0.0007758020734337569,-0.04196352246857207,-0.09796088966959099,-0.005495569611506951,-0.003732328245501878,-0.01018250576696572,,-0.0035410640838017863,-0.010182505766965723,-0.009888377779554822,-0.002694824212385484,-0.010539398319019145
dst_dst_negative_flag,-0.5276334054451335,-0.16199821535717288,-0.1837953444472048,-0.19358702941536834,1.0,0.14542550916513028,-0.43512127388704513,-0.4733808170452038,-0.1759464595768926,0.8091441863982406,0.21656444380153295,-0.06680818909886503,-0.10108948656096595,-0.12013944402025657,0.06489155416722331,0.01540385203784654,0.26529841013176425,0.2822306485090921,0.09304884590721793,-0.11180752140499127,0.03434215394059935,0.0525019853729071,-0.01715122238004033,,0.04562186435868859,0.06318723840023453,-0.014661813126050235,0.019326158656616493,-0.010879973429945854,0.0036569864134942715,-0.014229320412498095,-0.004682069577455097,0.017443053934001165,-0.000894703946176267,-0.012825618720362137,0.002434266709595141,0.020288681068077637,-0.0026105226506147306,0.17013234281436476,0.29200982038816486,0.20030023677408923,0.17241603706201342,-0.0034366346177734184,0.1977490132011851,-0.022785392099127815,0.019795451732947618,-0.020960330641443207,0.004248158538714853,0.013370914328093985,0.013370914328093985,0.013370914328093985,0.013510464063707189,-0.013200970556664951,-0.013200970556664951,-0.013200970556664951,9.765855357113193e-05,0.027426749893652097,-0.18579770632821438,-0.21563604354467955,0.02032835733987031,0.030591415988239327,0.019094353486474275,0.022301819450240727,0.00038382849659900623,-0.025716200526183272,0.030160128680164294,0.015232067603002964,0.0334575974601308,0.0343346928966407,0.05461605442050538,0.05780310805764983,-0.013400940288014255,,0.05767952156599028,-0.013400940288014255,0.047113411428071135,0.05963426428020729,-0.015356653653276238
dst_dst_recovery_flag,-0.46315902666646636,0.17029989540763626,0.07509793907244286,0.016985547520524755,0.14542550916513028,1.0,-0.4978287879692994,-0.5175737972576194,-0.00322653405338994,0.16065427533034335,0.2415525682470833,-0.05083157505228648,-0.10003521724865802,-0.13226472422118998,0.14069051191055956,0.033128130217884105,0.3016997819847416,0.30934885954559294,0.2410926733510126,-0.12632053615930416,0.11511304858780139,0.11189636291240253,0.028444153857955456,,0.12239022801987207,0.14100049455810937,0.015415172357584613,0.02494795942240811,-0.05363113977684119,0.010665138077288689,-5.433393878687404e-05,0.02021994362542195,0.05998513895074206,-0.008274516597332878,-0.056414550482065985,0.008052702516104989,0.06485874184819773,-0.009422847126871246,0.0802601063434323,0.18275780199219235,0.12545340147800274,0.07473091845648372,-0.013152959871303696,0.06750847354652811,-0.017536225256043262,0.01780628727130059,-0.00740368093003941,0.155088562885522,-0.006981425083999016,-0.006981425083999016,-0.006981425083999016,-0.006403631667083341,0.007027899669468327,0.007027899669468327,0.007027899669468327,-0.003866474276654543,0.014896381663250748,-0.08433258175703427,-0.07796118571397946,0.010226126287543942,0.013223540107591435,0.010758382932075624,0.10172492850402295,0.002002714159933832,-0.010389162836851392,0.003320681642263112,-0.005647596591521858,0.019507482013628823,0.1221701471490222,0.13072582927468918,0.13423334197746697,-0.011036489019720312,,0.13575678709085484,-0.01103648901972031,0.10362371873098261,0.13680902549137117,-0.023314874405979385
dst_dst_min_6h,0.9427255829392956,-0.015835973427282758,0.025310820973771575,0.13034665849710028,-0.43512127388704513,-0.4978287879692994,1.0,0.9704128105472195,0.08527940782548166,-0.5036505587559228,-0.5318184508897345,0.08295105336792849,0.13837273100895991,0.1710179472532172,-0.3836514009316265,-0.05617490595212965,-0.6155970478065933,-0.6374930069751051,-0.5299510718917703,0.1634626405649099,-0.18115401246236895,-0.1822525334639056,-0.04043959378031384,,-0.18778516137848145,-0.22612428863568135,-0.02405187698082138,-0.041586541780627616,0.08781070471937591,-0.011373373566954692,-0.0014153834548204537,-0.0333882999639322,-0.0984098354060988,0.017904832317286033,0.09102190095723715,-0.008744293021243207,-0.10648796146514837,0.020407858587882324,-0.19089334855766452,-0.3791880085408474,-0.2545510432088784,-0.1822263530703231,0.031148246029008002,-0.1787667304174779,0.028351531898130635,-0.027025159769639026,0.026831797098002836,-0.336923885732938,0.0006314851866958959,0.0006314851866958959,0.0006314851866958959,0.00024704799431247705,-0.000706095808583511,-0.000706095808583511,-0.000706095808583511,0.00242170763986353,-0.05956775653394531,0.1997792268696912,0.1986139835587874,-0.023876875182624255,-0.03684941148236343,-0.03029997116003008,-0.2008102357386217,-0.003577682764105067,0.033841825068938444,-0.018687084648136627,-0.0018001161304064272,-0.05113238017345863,-0.2502587102135567,-0.21676033973550252,-0.22023796860821604,0.022592973801008207,,-0.22633966642953474,0.022592973801008203,-0.175223389702375,-0.22502565493232057,0.038523098947137624
dst_dst_mean_6h,0.935659275306571,-0.07373947230004244,-0.07158266643185769,0.058110038232497795,-0.4733808170452038,-0.5175737972576194,0.9704128105472195,1.0,-7.086858422265212e-06,-0.5678797557920724,-0.46603144909777766,0.0767968534504145,0.1396923603304073,0.20025243231884743,-0.32279578598557096,-0.0468653342206062,-0.5492482501749469,-0.5704630884052125,-0.46157897803252956,0.1816558301891053,-0.16550184392523531,-0.16803620463352217,-0.0336999486286151,,-0.17360111338222706,-0.2101958896037312,-0.018755363004635785,-0.039864406396887715,0.0789481415493824,-0.013441226952730536,0.002537564178246427,-0.03058797774351672,-0.08937194671346907,0.012956400910377915,0.08215981785434938,-0.011080702894959521,-0.09675752277969624,0.0153985113054179,-0.1834948064129091,-0.3752710945538043,-0.23460235600800722,-0.17964588182888022,0.02768865784007081,-0.17494206398509746,0.030979381582582673,-0.02831687393077162,0.025993336360020103,-0.24497479828953472,-0.0006181219048761117,-0.0006181219048761117,-0.0006181219048761117,-0.0008541155744566649,0.0005472331841027971,0.0005472331841027971,0.0005472331841027971,0.0016057080429474034,-0.0545015400810969,0.1966860867014087,0.19392983287636403,-0.026190485405715003,-0.03615999089900826,-0.029613896362071453,-0.1420922702383623,-0.004167406574330162,0.028369204381789477,-0.019908762838776465,-0.003036851199734851,-0.05036995637870367,-0.17980294456480378,-0.1990372960921441,-0.202874691658191,0.024719542777714112,,-0.2086542624616174,0.02471954277771412,-0.16429959113430756,-0.20774502665088004,0.040812488901239154
dst_dst_slope_6h,0.29856204438505934,0.24376750940401185,0.742021586974766,0.8430145499892199,-0.1759464595768926,-0.00322653405338994,0.08527940782548166,-7.086858422265212e-06,1.0,0.014366185731559473,-0.19357842991992424,0.07706444328413117,0.06125330079364131,-0.09550354801288859,-0.1930014461555776,-0.009872513481415005,-0.18742069624078153,-0.22246746231800693,-0.2371279990770655,-0.033775042554475165,-0.0016736626171813106,-0.0013716148630520044,-0.002039421912270004,,-2.211951178481372e-05,-1.1293665146938643e-05,-0.002055037568970901,0.00025481288701037193,-0.001003418731869405,0.0007432573199006266,0.001271067844145492,0.0004990532089225453,0.00027577954351396845,0.001504344010301995,0.00010718753968735254,0.0009597131973689279,-0.002323658372448901,0.001383616736722985,-0.0143268029320085,-0.018637895145759416,-0.06450906090499936,-0.010909298279467577,0.010131510203497004,-0.008678394180892746,0.009232163040614798,-0.005273329825412422,0.02539939243848912,-0.158164709178155,1.7313376180050053e-06,1.7313376180050053e-06,1.7313376180050053e-06,-0.0004324583429313047,-1.4221092857460184e-05,-1.4221092857460184e-05,-1.4221092857460184e-05,0.004609451937989248,-0.019640170771039203,0.011276764326885066,0.009709139864127051,-0.0024831080074422286,-0.013020103647227593,-0.025007164200436298,-0.06050585924310519,0.002336360825405834,0.03047214604535538,-0.014970687706265202,-0.0007667205077037582,-0.038449031733742596,-0.08961999255818583,-0.004620879053793353,-0.00308177101187343,-0.009281406239985338,,-0.0030089104682730697,-0.009281406239985338,-0.00831563530253341,-0.002309858452480868,-0.008727599949180641
dst_dst_neg_frac_6h,-0.5256286330730277,0.05177234934860861,0.05529537847980692,-0.02417832016036635,0.8091441863982406,0.16065427533034335,-0.5036505587559228,-0.5678797557920724,0.014366185731559473,1.0,0.20845658785556495,-0.05079524448959837,-0.10076411758443574,-0.15817015499772297,0.05874654650440245,0.011496330514001717,0.2650568354695069,0.2765459750285952,0.08968426800118336,-0.13909142570807304,0.039934706899955166,0.06110363939402055,-0.020619210882853498,,0.05389337664554013,0.07458367511321476,-0.01801149608853554,0.02279210215047401,-0.011230901704964446,0.0035549250129861165,-0.016661011573913323,-0.0060257150905145135,0.019393195002074214,-0.001544958550835528,-0.013528642170241597,0.0024539576699156023,0.02306977596503567,-0.0033371015149468116,0.19007459454202008,0.328840149479494,0.21136758762124852,0.1930901221213722,-0.003431849852753357,0.22228074558942978,-0.024160390443462645,0.02041346971844837,-0.019447886248586888,-0.022167567001948215,0.015644047134684532,0.015644047134684532,0.015644047134684532,0.015421153187938757,-0.015611084317245583,-0.015611084317245583,-0.015611084317245583,0.0035606702438714124,0.03162850987226266,-0.20813630774609962,-0.24261749340028374,0.023904199230380053,0.033486017065497656,0.018122149481247348,0.020216455274317886,0.002927110349576222,-0.02262498370599299,0.029972416087592327,0.017636213762143017,0.03101010652740665,0.020690898213724496,0.06399923018754344,0.06790960107756526,-0.01536413280197096,,0.06757153646882962,-0.015364132801970952,0.05472012409109624,0.07003297326028037,-0.018935995772519
