feature_1,feature_2,correlation,abs_correlation
radio_flux_df107_24h,radio_flux_f107_delta_24h,1.0000000000000002,1.0000000000000002
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_by_gse_missing_flag,1.0,1.0
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_bz_gse_missing_flag,1.0,1.0
imf_solar_wind_bx_gse_source_id,imf_solar_wind_by_gse_source_id,1.0,1.0
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bz_gse_source_id,1.0,1.0
imf_solar_wind_by_gse_missing_flag,imf_solar_wind_bz_gse_missing_flag,1.0,1.0
imf_solar_wind_by_gse_source_id,imf_solar_wind_bz_gse_source_id,1.0,1.0
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bx_gse_source_id,imf_solar_wind_by_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_by_gse_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_by_gse_source_id,imf_solar_wind_by_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_by_gse_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bz_gse_source_id,imf_solar_wind_by_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_newell_int_6h,-0.9978863511009264,0.9978863511009264
imf_solar_wind_by_gse_missing_flag,imf_solar_wind_newell_int_6h,-0.9978863511009264,0.9978863511009264
imf_solar_wind_bz_gse_missing_flag,imf_solar_wind_newell_int_6h,-0.9978863511009264,0.9978863511009264
imf_solar_wind_bx_gse_source_id,imf_solar_wind_newell_int_6h,0.9971946781072525,0.9971946781072525
imf_solar_wind_by_gse_source_id,imf_solar_wind_newell_int_6h,0.9971946781072525,0.9971946781072525
imf_solar_wind_bz_gse_source_id,imf_solar_wind_newell_int_6h,0.9971946781072525,0.9971946781072525
imf_solar_wind_density,imf_solar_wind_density_missing_flag,-0.9970963675552363,0.9970963675552363
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bt_source_id,0.9930174249172565,0.9930174249172565
imf_solar_wind_by_gse_source_id,imf_solar_wind_bt_source_id,0.9930174249172565,0.9930174249172565
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bt_source_id,0.9930174249172565,0.9930174249172565
radio_flux_log_f107,radio_flux_log_f107_mean_24h,0.9925518998657564,0.9925518998657564
imf_solar_wind_bt_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9923440996212054,0.9923440996212054
imf_solar_wind_bt_source_id,imf_solar_wind_by_gse_missing_flag,-0.9923440996212054,0.9923440996212054
imf_solar_wind_bt_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9923440996212054,0.9923440996212054
imf_solar_wind_bt_source_id,imf_solar_wind_newell_int_6h,0.9902331829845992,0.9902331829845992
radio_flux_f107_mean_24h,radio_flux_log_f107_mean_24h,0.9790238944697501,0.9790238944697501
cme_last_cme_shock_proxy,cme_max_last_cme_shock_proxy_6h,0.9773503950774877,0.9773503950774877
cme_cme_influence_exp,cme_min_hours_since_last_cme_6h,-0.9752849412457036,0.9752849412457036
radio_flux_f107,radio_flux_log_f107,0.9724031411748122,0.9724031411748122
radio_flux_f107,radio_flux_f107_mean_24h,0.9711065569623216,0.9711065569623216
dst_dst_min_6h,dst_dst_mean_6h,0.9704128105472195,0.9704128105472195
radio_flux_log_f107,radio_flux_f107_mean_24h,0.9699484114531165,0.9699484114531165
