feature,vif
imf_solar_wind_bz_gse_missing_flag,inf
imf_solar_wind_by_gse_missing_flag,inf
radio_flux_df107_24h,inf
radio_flux_f107_delta_24h,inf
imf_solar_wind_bx_gse_source_id,inf
imf_solar_wind_bx_gse_missing_flag,inf
imf_solar_wind_bz_gse_source_id,inf
imf_solar_wind_by_gse_source_id,inf
imf_solar_wind_density,1130.1349278405753
imf_solar_wind_density_missing_flag,1094.7154096289987
radio_flux_log_f107_mean_24h,528.6860121245675
radio_flux_log_f107,473.5006307667285
dst_dst,369.19816192696067
kp_kp,357.53616808639146
dst_dst_mean_6h,346.81580855341423
imf_solar_wind_newell_int_6h,328.63436190697274
kp_kp_mean_6h,314.82970358827276
imf_solar_wind_bt_source_id,289.74631961726146
radio_flux_f107_mean_24h,159.61597575154093
radio_flux_f107,145.88328889834833
cme_cme_influence_exp,45.3886928988374
imf_solar_wind_density_source_id,31.344171755121845
imf_solar_wind_ey,31.29662058493305
imf_solar_wind_temperature_source_id,30.44535627040086
cme_last_cme_shock_proxy,29.051167940426666
cme_max_last_cme_shock_proxy_6h,28.392262183598646
dst_dst_min_6h,28.29902507703091
cme_min_hours_since_last_cme_6h,26.8282297673336
imf_solar_wind_temperature_missing_flag,24.704879496816215
cme_last_cme_v_med,22.80798645403519
imf_solar_wind_bz_gse,22.197163689513815
imf_solar_wind_speed_source_id,21.792773100548956
cme_max_last_cme_v_med_12h,21.64441183176224
cme_hours_since_last_cme,20.410257279620858
kp_kp_slope_6h,19.168210524650632
sunspot_ssn,18.072360626374955
kp_kp_max_6h,17.5102617364043
dst_dst_slope_6h,16.229075946990346
kp_kp_delta_3h,14.163754196120136
sunspot_ssn_mean_1944h,13.609931086844815
imf_solar_wind_dynamic_pressure,12.0409865390706
imf_solar_wind_newell_dphi_dt,9.082068634376292
dst_dst_delta_3h,9.003837678795723
imf_solar_wind_bz_south_frac_6h,8.91744469826239
imf_solar_wind_speed_missing_flag,8.200810481633287
kp_kp_delta_1h,7.8666423995491614
imf_solar_wind_pdyn_max_6h,7.536827721169476
dst_dst_delta_1h,7.382400795620511
cme_mean_cme_influence_exp_12h,7.077141738160471
imf_solar_wind_speed,6.871087553912244
imf_solar_wind_ey_mean_6h,5.852207096344208
imf_solar_wind_bz_min_6h,5.273493617605324
sunspot_log_ssn,5.190776342733731
kp_kp_delta_6h,5.0643554992229465
radio_flux_f107_anomaly_72h,5.029193491696229
sunspot_ssn_std_1944h,4.866176209751127
dst_dst_delta_6h,4.141823717497547
dst_dst_neg_frac_6h,4.07977054387601
imf_solar_wind_bt_missing_flag,4.034880294795418
kp_kp_ge5_frac_6h,3.9525967326946514
kp_kp_ge5_flag,3.815029758759337
dst_dst_negative_flag,3.6874979768100027
imf_solar_wind_temperature,2.7377174342343307
sunspot_ssn_trend_1296h,2.4032106639765987
imf_solar_wind_by_gse,2.167090378316229
imf_solar_wind_clock_angle,2.1641297680711578
imf_solar_wind_bt,2.0752298856486435
sunspot_ssn_slope_27d,2.024097736910889
imf_solar_wind_delta_bz,1.7586535136343815
radio_flux_f107_std_72h,1.5919048598865557
cme_cme_overtaking_flag,1.5482848372524955
dst_dst_recovery_flag,1.4867375886842047
kp_kp_entered_storm,1.4456916452157016
imf_solar_wind_bx_gse,1.4258812825332723
sunspot_ssn_anomaly_frac_1944h,1.3375741777243
cme_effective_width,1.065081256779346
sunspot_ssn_anomaly_81d,
radio_flux_f107_anomaly_27d,
